DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region Description, Total Discharges , Average Covered Charges , Average Total Payments ,Average Medicare Payments
194 - SIMPLE PNEUMONIA & PLEURISY W CC,520202,ST CLARE'S HOSPITAL OF WESTON INC,3400 MINISTRY PARKWAY,WESTON,WI,54476,WI - Wausau,11,$10286.63,$5346.18,$4631.63
194 - SIMPLE PNEUMONIA & PLEURISY W CC,520204,"WHEATON FRANCISCAN HEALTHCARE- FRANKLIN, INC",10101 SOUTH 27TH STREET,FRANKLIN,WI,53132,WI - Milwaukee,18,$14987.88,$5222.16,$4217.72
194 - SIMPLE PNEUMONIA & PLEURISY W CC,520206,AURORA MEDICAL CENTER,36500 AURORA DRIVE,SUMMIT,WI,53066,WI - Milwaukee,21,$13531.09,$5152.47,$4243.71
194 - SIMPLE PNEUMONIA & PLEURISY W CC,520207,AURORA MEDICAL CENTER,975 PORT WASHINGTON ROAD,GRAFTON,WI,53024,WI - Milwaukee,31,$17516.09,$5170.32,$4368.00
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,520004,"MAYO CLINIC HLTH SYSTEM- FRANCISCAN MED CTR, INC",700 WEST AVE S,LA CROSSE,WI,54601,WI - La Crosse,33,$11836.12,$4779.45,$3718.81
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,520008,WAUKESHA MEMORIAL HOSPITAL,725 AMERICAN AVE,WAUKESHA,WI,53188,WI - Milwaukee,30,$11945.90,$4672.46,$2950.10
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,520013,SACRED HEART HSPTL,900 W CLAIREMONT AVE,EAU CLAIRE,WI,54701,MN - Minneapolis,18,$12986.55,$4770.16,$3835.72
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,520017,ST JOSEPHS HSPTL,2661 CTY HWY I,CHIPPEWA FALLS,WI,54729,WI - Marshfield,13,$12528.23,$4586.69,$3899.92
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,520021,UNITED HSPTL SYS,6308 EIGHTH AVE,KENOSHA,WI,53143,WI - Milwaukee,35,$15175.65,$4560.88,$3165.57
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,520027,"COLUMBIA ST MARY'S HOSPITAL OZAUKEE, INC",13111 N PORT WASHINGTON RD,MEQUON,WI,53097,WI - Milwaukee,22,$13099.40,$4396.54,$2860.59
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,520028,THE MONROE CLINIC,2005 5TH STREET,MONROE,WI,53566,WI - Madison,30,$12833.96,$4429.23,$3454.56
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,520030,ASPIRUS WAUSAU HOSPITAL,333 PINE RIDGE BLVD,WAUSAU,WI,54401,WI - Wausau,25,$12984.56,$4250.52,$3396.60
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,520035,AURORA SHEBOYGAN MEM MED CTR,2629 N 7TH ST,SHEBOYGAN,WI,53083,WI - Milwaukee,12,$10170.91,$4194.25,$3253.58
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,520037,MINISTRY SAINT JOSEPH'S HOSPITAL,611 ST JOSEPH AVE,MARSHFIELD,WI,54449,WI - Marshfield,31,$10077.12,$4902.96,$3998.32
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,520038,AURORA MED CENTER-WASHINGTON COUNTY,1032 E SUMNER ST,HARTFORD,WI,53027,WI - Milwaukee,14,$14797.21,$3910.35,$2951.50
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,520041,DIVINE SAVIOR HLTHCARE,"2817 NEW PINERY RD, P O BOX 387",PORTAGE,WI,53901,WI - Madison,31,$12879.29,$5002.77,$4202.51
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,520051,COLUMBIA ST MARYS HSPTL  MILW (COL & MILW CAMPUS),2323 N LAKE DR,MILWAUKEE,WI,53211,WI - Milwaukee,15,$12514.93,$5122.46,$4074.46
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,520057,ST CLARE HSPTL HLTH SVCS,707 14TH ST,BARABOO,WI,53913,WI - Madison,26,$13951.26,$4770.11,$3777.34
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,520059,AURORA MEMORIAL HSPTL BURLINGTON,252 MCHENRY ST,BURLINGTON,WI,53105,WI - Milwaukee,16,$15940.43,$4634.50,$2766.68
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,520063,ST JOSEPHS COM HSPTL WEST BEND,3200 PLEASANT VALLEY ROAD,WEST BEND,WI,53095,WI - Milwaukee,26,$13462.80,$4772.80,$2794.00
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,520066,MERCY HLTH SYS CORP,1000 MINERAL POINT AVE,JANESVILLE,WI,53548,WI - Madison,29,$14705.72,$4485.13,$3636.31
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,520070,MAYO CLINIC HEALTH SYSTEM EAU CLAIRE HOSPITAL,1221 WHIPPLE ST,EAU CLAIRE,WI,54703,MN - Minneapolis,17,$13665.41,$4027.35,$3036.05
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,520071,FORT HEALTHCARE,611 SHERMAN AVE E,FORT ATKINSON,WI,53538,WI - Madison,21,$13801.33,$4225.42,$3315.14
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,520076,BEAVER DAM COM HSPTL,707 S UNIVERSITY AVE,BEAVER DAM,WI,53916,WI - Madison,34,$18550.61,$4509.35,$3333.91
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,520078,WHEATON FRANCISCAN HEALTHCARE- ST FRANCIS,3237 S 16TH ST,MILWAUKEE,WI,53215,WI - Milwaukee,19,$14277.21,$4839.47,$3954.21
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,520083,ST MARY'S HOSPITAL,700 SOUTH PARK ST,MADISON,WI,53715,WI - Madison,71,$14932.38,$4827.83,$3857.32
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,520087,GUNDERSEN LUTH MED CTR,1910 SOUTH AVE,LA CROSSE,WI,54601,WI - La Crosse,14,$9573.78,$4695.78,$3887.21
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,520088,ST AGNES HSPTL,430 E DIVISON ST,FOND DU LAC,WI,54935,WI - Milwaukee,25,$16350.28,$4215.36,$3274.72
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,520089,MERITER HSPTL,202 S PARK ST,MADISON,WI,53715,WI - Madison,34,$16750.61,$5089.05,$4297.52
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,520095,SAUK PRAIRIE MEM HSPTL,80 FIRST ST,PRAIRIE DU SAC,WI,53578,WI - Madison,12,$12779.50,$4820.66,$3694.00
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,520096,WHEATON FRANCISCAN HEALTHCARE- ALL SAINTS,3801 SPRING ST,RACINE,WI,53405,WI - Milwaukee,21,$10359.90,$4751.19,$3891.76
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,520098,UNIVERSITY OF WI  HOSPITALS & CLINICS AUTHORITY,600 HIGHLAND AVENUE,MADISON,WI,53792,WI - Madison,33,$9980.36,$6954.33,$6026.03
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,520100,BELOIT MEM HSPTL,1969 W HART RD,BELOIT,WI,53511,WI - Madison,15,$19915.26,$4760.73,$3038.13
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,520102,AURORA LAKELAND MED CTR,W3985 CTY RD NN,ELKHORN,WI,53121,WI - Milwaukee,30,$11533.56,$4712.80,$3323.70
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,520103,COMMUNITY MEM HSPTL,W180 N8085 TOWN HALL RD,MENOMONEE FALLS,WI,53051,WI - Milwaukee,31,$13297.61,$4007.22,$3028.51
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,520107,HOLY FAMILY MEMORIAL INC,2300 WESTERN AVE PO BOX 1450,MANITOWOC,WI,54221,WI - Green Bay,11,$9526.27,$4127.00,$3112.45
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,520109,"MILE BLUFF MEDICAL CENTER, INC",1050 DIVISION ST,MAUSTON,WI,53948,WI - Madison,30,$13966.93,$4719.80,$3781.80
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,520113,BAY AREA MED CTR,3100 SHORE DR,MARINETTE,WI,54143,WI - Green Bay,18,$12110.55,$4789.94,$2994.22
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,520116,UW HLTH PARTNERS - WATERTOWN REGIONAL MEDICAL CTR,125 HOSPITAL DR,WATERTOWN,WI,53098,WI - Madison,17,$14105.82,$4745.41,$3826.35
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,520136,"WHEATON FRANCISCAN, INC- ST JOSEPH",5000 W CHAMBERS ST,MILWAUKEE,WI,53210,WI - Milwaukee,14,$14175.42,$5787.28,$4823.85
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,520138,AURORA ST LUKES MEDICAL CENTER,2900 W OKLAHOMA AVE,MILWAUKEE,WI,53215,WI - Milwaukee,64,$18896.95,$5767.46,$3880.87
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,520139,AURORA WEST ALLIS MEDICAL CENTER,8901 W LINCOLN AVE,WEST ALLIS,WI,53227,WI - Milwaukee,36,$17111.27,$4468.50,$3204.44
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,520160,APPLETON MED CTR,1818 N MEADE ST,APPLETON,WI,54911,WI - Appleton,15,$5881.66,$3985.33,$3010.66
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,520170,WHEATON FRANCISCAN INC - ELMBROOK MEMORIAL,19333 W NORTH AVE,BROOKFIELD,WI,53045,WI - Milwaukee,21,$11188.47,$4052.00,$2834.57
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,520177,FROEDTERT MEM LUTHERAN HSPTL,9200 W WISCONSIN AVE,MILWAUKEE,WI,53226,WI - Milwaukee,30,$12457.30,$6186.16,$5174.83
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,520189,AURORA MED CTR KENOSHA,10400 75TH ST,KENOSHA,WI,53142,WI - Milwaukee,30,$12854.23,$4557.53,$3465.70
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,520207,AURORA MEDICAL CENTER,975 PORT WASHINGTON ROAD,GRAFTON,WI,53024,WI - Milwaukee,11,$12208.45,$3700.09,$2573.90
202 - BRONCHITIS & ASTHMA W CC/MCC,520002,MINISTRY ST MICHAELS HOSPITAL OF STEVENS POINT,900 ILLINOIS AVE,STEVENS POINT,WI,54481,WI - Marshfield,12,$8846.66,$4918.16,$3562.75
202 - BRONCHITIS & ASTHMA W CC/MCC,520008,WAUKESHA MEMORIAL HOSPITAL,725 AMERICAN AVE,WAUKESHA,WI,53188,WI - Milwaukee,22,$13144.09,$5548.13,$3855.27
202 - BRONCHITIS & ASTHMA W CC/MCC,520013,SACRED HEART HSPTL,900 W CLAIREMONT AVE,EAU CLAIRE,WI,54701,MN - Minneapolis,14,$17013.42,$6874.71,$4434.42
202 - BRONCHITIS & ASTHMA W CC/MCC,520030,ASPIRUS WAUSAU HOSPITAL,333 PINE RIDGE BLVD,WAUSAU,WI,54401,WI - Wausau,16,$14877.12,$5073.93,$3932.93
202 - BRONCHITIS & ASTHMA W CC/MCC,520051,COLUMBIA ST MARYS HSPTL  MILW (COL & MILW CAMPUS),2323 N LAKE DR,MILWAUKEE,WI,53211,WI - Milwaukee,14,$23769.28,$6427.21,$5704.00
202 - BRONCHITIS & ASTHMA W CC/MCC,520070,MAYO CLINIC HEALTH SYSTEM EAU CLAIRE HOSPITAL,1221 WHIPPLE ST,EAU CLAIRE,WI,54703,MN - Minneapolis,23,$15283.95,$5561.86,$3550.34
202 - BRONCHITIS & ASTHMA W CC/MCC,520083,ST MARY'S HOSPITAL,700 SOUTH PARK ST,MADISON,WI,53715,WI - Madison,15,$15983.06,$5588.46,$4577.80
202 - BRONCHITIS & ASTHMA W CC/MCC,520088,ST AGNES HSPTL,430 E DIVISON ST,FOND DU LAC,WI,54935,WI - Milwaukee,11,$16158.36,$5080.54,$3957.27
202 - BRONCHITIS & ASTHMA W CC/MCC,520089,MERITER HSPTL,202 S PARK ST,MADISON,WI,53715,WI - Madison,19,$16738.94,$6001.26,$5170.52
202 - BRONCHITIS & ASTHMA W CC/MCC,520096,WHEATON FRANCISCAN HEALTHCARE- ALL SAINTS,3801 SPRING ST,RACINE,WI,53405,WI - Milwaukee,18,$12007.94,$5625.44,$4624.55
202 - BRONCHITIS & ASTHMA W CC/MCC,520098,UNIVERSITY OF WI  HOSPITALS & CLINICS AUTHORITY,600 HIGHLAND AVENUE,MADISON,WI,53792,WI - Madison,16,$17654.12,$8718.37,$7167.68
202 - BRONCHITIS & ASTHMA W CC/MCC,520100,BELOIT MEM HSPTL,1969 W HART RD,BELOIT,WI,53511,WI - Madison,17,$18337.00,$5703.00,$3723.94
202 - BRONCHITIS & ASTHMA W CC/MCC,520113,BAY AREA MED CTR,3100 SHORE DR,MARINETTE,WI,54143,WI - Green Bay,13,$12356.46,$5891.84,$3574.76
202 - BRONCHITIS & ASTHMA W CC/MCC,520136,"WHEATON FRANCISCAN, INC- ST JOSEPH",5000 W CHAMBERS ST,MILWAUKEE,WI,53210,WI - Milwaukee,14,$17714.85,$6864.07,$5738.92
202 - BRONCHITIS & ASTHMA W CC/MCC,520138,AURORA ST LUKES MEDICAL CENTER,2900 W OKLAHOMA AVE,MILWAUKEE,WI,53215,WI - Milwaukee,56,$18629.28,$6032.55,$5050.78
202 - BRONCHITIS & ASTHMA W CC/MCC,520139,AURORA WEST ALLIS MEDICAL CENTER,8901 W LINCOLN AVE,WEST ALLIS,WI,53227,WI - Milwaukee,13,$17846.46,$7147.76,$3568.46
202 - BRONCHITIS & ASTHMA W CC/MCC,520177,FROEDTERT MEM LUTHERAN HSPTL,9200 W WISCONSIN AVE,MILWAUKEE,WI,53226,WI - Milwaukee,34,$17558.20,$8007.61,$7282.67
202 - BRONCHITIS & ASTHMA W CC/MCC,520207,AURORA MEDICAL CENTER,975 PORT WASHINGTON ROAD,GRAFTON,WI,53024,WI - Milwaukee,11,$17520.90,$4405.00,$3581.72
203 - BRONCHITIS & ASTHMA W/O CC/MCC,520008,WAUKESHA MEMORIAL HOSPITAL,725 AMERICAN AVE,WAUKESHA,WI,53188,WI - Milwaukee,13,$10555.23,$4348.46,$2441.69
203 - BRONCHITIS & ASTHMA W/O CC/MCC,520030,ASPIRUS WAUSAU HOSPITAL,333 PINE RIDGE BLVD,WAUSAU,WI,54401,WI - Wausau,13,$11840.92,$3641.92,$2781.00
203 - BRONCHITIS & ASTHMA W/O CC/MCC,520083,ST MARY'S HOSPITAL,700 SOUTH PARK ST,MADISON,WI,53715,WI - Madison,16,$12193.31,$4045.75,$2925.00
203 - BRONCHITIS & ASTHMA W/O CC/MCC,520089,MERITER HSPTL,202 S PARK ST,MADISON,WI,53715,WI - Madison,11,$13278.72,$4349.63,$3429.27
203 - BRONCHITIS & ASTHMA W/O CC/MCC,520100,BELOIT MEM HSPTL,1969 W HART RD,BELOIT,WI,53511,WI - Madison,13,$15387.92,$3615.23,$2664.76
203 - BRONCHITIS & ASTHMA W/O CC/MCC,520138,AURORA ST LUKES MEDICAL CENTER,2900 W OKLAHOMA AVE,MILWAUKEE,WI,53215,WI - Milwaukee,13,$14599.69,$4647.38,$3225.53
203 - BRONCHITIS & ASTHMA W/O CC/MCC,520177,FROEDTERT MEM LUTHERAN HSPTL,9200 W WISCONSIN AVE,MILWAUKEE,WI,53226,WI - Milwaukee,14,$9970.64,$5350.50,$4548.78
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,520021,UNITED HSPTL SYS,6308 EIGHTH AVE,KENOSHA,WI,53143,WI - Milwaukee,12,$104416.00,$33576.33,$32355.33
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,520030,ASPIRUS WAUSAU HOSPITAL,333 PINE RIDGE BLVD,WAUSAU,WI,54401,WI - Wausau,13,$88647.69,$31941.69,$29955.38
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,520037,MINISTRY SAINT JOSEPH'S HOSPITAL,611 ST JOSEPH AVE,MARSHFIELD,WI,54449,WI - Marshfield,11,$119086.09,$51779.09,$44740.54
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,520045,THEDA CLARK MED CTR,130 2ND ST,NEENAH,WI,54956,WI - Neenah,11,$53138.09,$28580.90,$27763.45
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,520070,MAYO CLINIC HEALTH SYSTEM EAU CLAIRE HOSPITAL,1221 WHIPPLE ST,EAU CLAIRE,WI,54703,MN - Minneapolis,11,$123201.63,$35602.72,$34602.36
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,520083,ST MARY'S HOSPITAL,700 SOUTH PARK ST,MADISON,WI,53715,WI - Madison,23,$122918.21,$39986.26,$35005.86
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,520089,MERITER HSPTL,202 S PARK ST,MADISON,WI,53715,WI - Madison,14,$242784.28,$61774.00,$60664.35
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,520098,UNIVERSITY OF WI  HOSPITALS & CLINICS AUTHORITY,600 HIGHLAND AVENUE,MADISON,WI,53792,WI - Madison,24,$149099.87,$61118.29,$60465.62
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,520138,AURORA ST LUKES MEDICAL CENTER,2900 W OKLAHOMA AVE,MILWAUKEE,WI,53215,WI - Milwaukee,55,$135757.58,$38199.80,$35247.80
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,520004,"MAYO CLINIC HLTH SYSTEM- FRANCISCAN MED CTR, INC",700 WEST AVE S,LA CROSSE,WI,54601,WI - La Crosse,32,$34106.31,$16270.00,$13235.18
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,520008,WAUKESHA MEMORIAL HOSPITAL,725 AMERICAN AVE,WAUKESHA,WI,53188,WI - Milwaukee,15,$52389.33,$15221.80,$14381.33
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,520009,ST ELIZABETH HSPTL,1506 S ONEIDA ST,APPLETON,WI,54915,WI - Appleton,13,$35660.46,$13534.46,$12758.15
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,520013,SACRED HEART HSPTL,900 W CLAIREMONT AVE,EAU CLAIRE,WI,54701,MN - Minneapolis,24,$56323.12,$17707.37,$17144.04
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,520021,UNITED HSPTL SYS,6308 EIGHTH AVE,KENOSHA,WI,53143,WI - Milwaukee,21,$42366.52,$13625.66,$12699.23
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,520030,ASPIRUS WAUSAU HOSPITAL,333 PINE RIDGE BLVD,WAUSAU,WI,54401,WI - Wausau,13,$29511.84,$13160.69,$12055.15
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,520037,MINISTRY SAINT JOSEPH'S HOSPITAL,611 ST JOSEPH AVE,MARSHFIELD,WI,54449,WI - Marshfield,46,$58107.63,$24345.10,$23443.60
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,520049,BELLIN MEMORIAL HSPTL,744 S WEBSTER AVE,GREEN BAY,WI,54305,WI - Green Bay,14,$34534.07,$12736.57,$12415.42
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,520051,COLUMBIA ST MARYS HSPTL  MILW (COL & MILW CAMPUS),2323 N LAKE DR,MILWAUKEE,WI,53211,WI - Milwaukee,18,$52304.88,$17716.16,$17027.94
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,520063,ST JOSEPHS COM HSPTL WEST BEND,3200 PLEASANT VALLEY ROAD,WEST BEND,WI,53095,WI - Milwaukee,19,$48462.21,$16468.15,$14162.47
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,520066,MERCY HLTH SYS CORP,1000 MINERAL POINT AVE,JANESVILLE,WI,53548,WI - Madison,23,$45544.60,$14004.52,$13345.65
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,520070,MAYO CLINIC HEALTH SYSTEM EAU CLAIRE HOSPITAL,1221 WHIPPLE ST,EAU CLAIRE,WI,54703,MN - Minneapolis,17,$67959.88,$15372.17,$14576.88
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,520075,ST VINCENT HSPTL,835 S VAN BUREN ST,GREEN BAY,WI,54301,WI - Green Bay,16,$37512.81,$13607.37,$12432.00
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,520083,ST MARY'S HOSPITAL,700 SOUTH PARK ST,MADISON,WI,53715,WI - Madison,49,$49650.20,$15805.55,$14460.38
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,520087,GUNDERSEN LUTH MED CTR,1910 SOUTH AVE,LA CROSSE,WI,54601,WI - La Crosse,20,$37830.35,$15318.60,$14361.15
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,520089,MERITER HSPTL,202 S PARK ST,MADISON,WI,53715,WI - Madison,11,$82249.09,$17537.54,$17023.00
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,520096,WHEATON FRANCISCAN HEALTHCARE- ALL SAINTS,3801 SPRING ST,RACINE,WI,53405,WI - Milwaukee,34,$43877.97,$15814.20,$14243.14
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,520098,UNIVERSITY OF WI  HOSPITALS & CLINICS AUTHORITY,600 HIGHLAND AVENUE,MADISON,WI,53792,WI - Madison,41,$50655.26,$23817.24,$19337.39
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,520100,BELOIT MEM HSPTL,1969 W HART RD,BELOIT,WI,53511,WI - Madison,13,$69307.92,$17952.92,$15253.69
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,520103,COMMUNITY MEM HSPTL,W180 N8085 TOWN HALL RD,MENOMONEE FALLS,WI,53051,WI - Milwaukee,12,$47476.33,$16028.66,$14294.16
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,520113,BAY AREA MED CTR,3100 SHORE DR,MARINETTE,WI,54143,WI - Green Bay,15,$46490.20,$14280.20,$13680.73
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,520136,"WHEATON FRANCISCAN, INC- ST JOSEPH",5000 W CHAMBERS ST,MILWAUKEE,WI,53210,WI - Milwaukee,34,$40328.32,$18649.41,$17119.88
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,520138,AURORA ST LUKES MEDICAL CENTER,2900 W OKLAHOMA AVE,MILWAUKEE,WI,53215,WI - Milwaukee,82,$66007.23,$17786.43,$17123.84
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,520139,AURORA WEST ALLIS MEDICAL CENTER,8901 W LINCOLN AVE,WEST ALLIS,WI,53227,WI - Milwaukee,16,$34802.31,$13010.81,$12309.31
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,520160,APPLETON MED CTR,1818 N MEADE ST,APPLETON,WI,54911,WI - Appleton,14,$28749.35,$12762.64,$12077.64
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,520177,FROEDTERT MEM LUTHERAN HSPTL,9200 W WISCONSIN AVE,MILWAUKEE,WI,53226,WI - Milwaukee,40,$52273.57,$23142.62,$21396.45
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,520193,AURORA BAYCARE MED CTR,2845 GREENBRIER RD PO BOX 8900,GREEN BAY,WI,54311,WI - Green Bay,13,$50444.23,$18498.53,$11627.30
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,520202,ST CLARE'S HOSPITAL OF WESTON INC,3400 MINISTRY PARKWAY,WESTON,WI,54476,WI - Wausau,14,$21459.00,$11834.64,$9351.42
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,520008,WAUKESHA MEMORIAL HOSPITAL,725 AMERICAN AVE,WAUKESHA,WI,53188,WI - Milwaukee,18,$76082.72,$22201.61,$16454.27
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,520013,SACRED HEART HSPTL,900 W CLAIREMONT AVE,EAU CLAIRE,WI,54701,MN - Minneapolis,17,$78623.88,$20757.29,$19893.52
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,520021,UNITED HSPTL SYS,6308 EIGHTH AVE,KENOSHA,WI,53143,WI - Milwaukee,32,$63508.12,$19251.25,$17275.03
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,520030,ASPIRUS WAUSAU HOSPITAL,333 PINE RIDGE BLVD,WAUSAU,WI,54401,WI - Wausau,39,$46707.10,$18402.30,$16941.66
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,520037,MINISTRY SAINT JOSEPH'S HOSPITAL,611 ST JOSEPH AVE,MARSHFIELD,WI,54449,WI - Marshfield,27,$66593.96,$23913.55,$22999.51
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,520049,BELLIN MEMORIAL HSPTL,744 S WEBSTER AVE,GREEN BAY,WI,54305,WI - Green Bay,15,$60472.00,$18747.73,$17999.46
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,520051,COLUMBIA ST MARYS HSPTL  MILW (COL & MILW CAMPUS),2323 N LAKE DR,MILWAUKEE,WI,53211,WI - Milwaukee,12,$66960.08,$22273.58,$21243.91
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,520059,AURORA MEMORIAL HSPTL BURLINGTON,252 MCHENRY ST,BURLINGTON,WI,53105,WI - Milwaukee,12,$54473.00,$17507.50,$16569.50
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,520066,MERCY HLTH SYS CORP,1000 MINERAL POINT AVE,JANESVILLE,WI,53548,WI - Madison,14,$77887.78,$19048.78,$18087.64
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,520070,MAYO CLINIC HEALTH SYSTEM EAU CLAIRE HOSPITAL,1221 WHIPPLE ST,EAU CLAIRE,WI,54703,MN - Minneapolis,13,$59979.76,$18253.53,$17215.92
