gameId,playId,playDescription,quarter,down,yardsToGo,possessionTeam,specialTeamsPlayType,specialTeamsResult,kickerId,yardlineSide,yardlineNumber,gameClock,kickLength,displayName,season,week,gameDate,homeTeamAbbr,visitorTeamAbbr,seasonType
2025_05_DAL_NYJ,3223,"(1:01) 6-N.Folk 48 yard field goal is GOOD, Center-42-T.Hennessy, Holder-14-A.McNamara.",3,4,16,NYJ,Field Goal,Kick Attempt Good,00-0025565,DAL,30.0,01:01:00,48.0,N.Folk,2025,5,2025-10-05,NYJ,DAL,REG
2025_05_DEN_PHI,594,"(6:53) 3-W.Lutz 55 yard field goal is GOOD, Center-48-M.Fraboni, Holder-16-J.Crawshaw.",1,4,13,DEN,Field Goal,Kick Attempt Good,00-0032569,PHI,37.0,06:53:00,55.0,W.Lutz,2025,5,2025-10-05,PHI,DEN,REG
2025_05_DEN_PHI,924,"(:32) 4-J.Elliott 31 yard field goal is GOOD, Center-57-C.Adomitis, Holder-10-B.Mann.",1,4,8,PHI,Field Goal,Kick Attempt Good,00-0033787,DEN,13.0,00:32:00,31.0,J.Elliott,2025,5,2025-10-05,PHI,DEN,REG
2025_05_DEN_PHI,4529,"(1:14) 3-W.Lutz 36 yard field goal is GOOD, Center-48-M.Fraboni, Holder-16-J.Crawshaw.",4,4,14,DEN,Field Goal,Kick Attempt Good,00-0032569,PHI,18.0,01:14:00,36.0,W.Lutz,2025,5,2025-10-05,PHI,DEN,REG
2025_05_DET_CIN,2182,"(:03) 2-E.McPherson 50 yard field goal is GOOD, Center-46-W.Wagner, Holder-8-R.Rehkow.",2,4,4,CIN,Field Goal,Kick Attempt Good,00-0036854,DET,32.0,00:03:00,50.0,E.McPherson,2025,5,2025-10-05,CIN,DET,REG
2025_05_HOU_BAL,655,"(2:01) 33-T.Loop 27 yard field goal is GOOD, Center-46-N.Moore, Holder-11-J.Stout.",1,4,3,BAL,Field Goal,Kick Attempt Good,00-0040074,HOU,9.0,02:01:00,27.0,T.Loop,2025,5,2025-10-05,BAL,HOU,REG
2025_05_HOU_BAL,980,"(11:23) 15-K.Fairbairn 50 yard field goal is GOOD, Center-40-A.Brinkman, Holder-6-T.Townsend.",2,4,13,HOU,Field Goal,Kick Attempt Good,00-0032726,BAL,32.0,11:23:00,50.0,K.Fairbairn,2025,5,2025-10-05,BAL,HOU,REG
2025_05_HOU_BAL,1946,"(:02) 33-T.Loop 55 yard field goal is No Good, Wide Right, Center-46-N.Moore, Holder-11-J.Stout.",2,1,10,BAL,Field Goal,Kick Attempt No Good,00-0040074,HOU,37.0,00:02:00,55.0,T.Loop,2025,5,2025-10-05,BAL,HOU,REG
2025_05_HOU_BAL,2545,"(5:59) 15-K.Fairbairn 57 yard field goal is GOOD, Center-40-A.Brinkman, Holder-6-T.Townsend.",3,4,2,HOU,Field Goal,Kick Attempt Good,00-0032726,BAL,39.0,05:59:00,57.0,K.Fairbairn,2025,5,2025-10-05,BAL,HOU,REG
2025_05_HOU_BAL,3192,"(10:34) 15-K.Fairbairn 34 yard field goal is GOOD, Center-40-A.Brinkman, Holder-6-T.Townsend.",4,4,5,HOU,Field Goal,Kick Attempt Good,00-0032726,BAL,16.0,10:34:00,34.0,K.Fairbairn,2025,5,2025-10-05,BAL,HOU,REG
