play_id,game_id,game_date,week,home_team,away_team,possession_team,defensive_team,quarter,down,yards_to_go,yardline_100,game_seconds_remaining,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,complete_pass,first_down,sack,qb_hit,interception,fumble_lost,penalty,penalty_yards,touchdown,field_goal_attempt,field_goal_result,kick_distance,special_teams_play,possession_team_score,defensive_team_score,score_differential,expected_points_before,expected_points_added,possession_team_win_probability,win_probability_added,successful_play,passer_player_name,receiver_player_name,rusher_player_name,kicker_player_name
2024_04_CIN_CAR-492,2024_04_CIN_CAR,2024-09-29,4,CAR,CIN,CIN,CAR,1,1,10,71.0,3035.0,pass,0.0,false,false,true,false,short,right,7.0,,,,false,false,false,false,false,false,false,,false,false,,,false,0.0,0.0,0.0,1.161166824400425,-0.5403412678278983,0.5015646815299988,-0.015674501657485962,false,J.Burrow,J.Chase,,
2024_05_ARI_SF-328,2024_05_ARI_SF,2024-10-06,5,SF,ARI,SF,ARI,1,1,6,6.0,3416.0,run,0.0,true,false,false,false,,,,,middle,,false,false,false,false,false,false,false,,false,false,,,false,0.0,7.0,-7.0,5.826496105641127,-0.4928830915596336,0.4468386769294739,-0.013497233390808105,false,,,J.Mason,
2024_04_CLE_LV-2817,2024_04_CLE_LV,2024-09-29,4,LV,CLE,LV,CLE,4,3,1,67.0,900.0,run,-4.0,false,false,false,false,,,,,right,tackle,false,false,false,false,false,true,false,,true,false,,,false,20.0,10.0,10.0,1.6440351558849216,-8.644035155884922,0.9099911451339722,-0.18895375567431483,false,,,Z.White,
2024_13_MIA_GB-1071,2024_13_MIA_GB,2024-11-28,13,GB,MIA,MIA,GB,2,1,10,31.0,2618.0,run,-1.0,false,false,false,false,,,,,right,end,false,false,false,false,false,false,false,,false,false,,,false,0.0,14.0,-14.0,3.7762004523538053,-0.7553612194024026,0.1925716996192932,-0.015224799513816833,false,,,D.Achane,
2024_12_TEN_HOU-738,2024_12_TEN_HOU,2024-11-24,12,HOU,TEN,TEN,HOU,1,4,1,44.0,2865.0,run,6.0,false,false,true,true,,,,,right,end,false,true,false,false,false,false,false,,false,false,,,false,3.0,7.0,-4.0,0.8191687774378806,2.6244259325321764,0.3943086862564087,0.07655912637710571,true,,,W.Levis,
2024_13_LA_NO-2134,2024_13_LA_NO,2024-12-01,13,NO,LA,LA,NO,3,1,10,32.0,1595.0,run,10.0,false,false,false,false,,,,,left,end,false,true,false,false,false,false,false,,false,false,,,false,0.0,6.0,-6.0,3.9496368839172646,0.7250600317493081,0.34450480341911316,0.055883437395095825,true,,,K.Williams,
2024_05_CAR_CHI-1004,2024_05_CAR_CHI,2024-10-06,5,CHI,CAR,CHI,CAR,2,1,10,12.0,2558.0,run,5.0,true,false,false,false,,,,,left,tackle,false,false,false,false,false,false,false,,false,false,,,false,7.0,7.0,0.0,5.081079132447485,0.1357856490649283,0.7111339569091797,-0.0034058094024658203,true,,,D.Swift,
2024_17_LV_NO-2283,2024_17_LV_NO,2024-12-29,17,NO,LV,LV,NO,3,1,10,85.0,1673.0,run,3.0,false,false,false,false,,,,,left,tackle,false,false,false,false,false,false,false,,false,false,,,false,13.0,10.0,3.0,0.3772462196648121,-0.3715025377459824,0.571835994720459,-0.00164109468460083,false,,,A.Abdullah,
2024_10_SF_TB-58,2024_10_SF_TB,2024-11-10,10,TB,SF,SF,TB,1,1,10,70.0,3600.0,run,6.0,true,false,false,false,,,,,left,end,false,false,false,false,false,false,false,,false,false,,,false,0.0,0.0,0.0,1.028041522949934,0.4174664323218167,0.433546245098114,0.013374507427215576,true,,,C.McCaffrey,
2024_05_GB_LA-3227,2024_05_GB_LA,2024-10-06,5,LA,GB,GB,LA,4,2,15,73.0,685.0,run,3.0,false,false,false,false,,,,,middle,,false,false,false,false,false,false,false,,false,false,,,false,24.0,13.0,11.0,0.21673625521361828,-0.5672572823241353,0.9313907623291016,0.004197180271148682,false,,,J.Jacobs,
2024_15_ATL_LV-491,2024_15_ATL_LV,2024-12-16,15,LV,ATL,LV,ATL,1,1,10,80.0,3019.0,run,-1.0,true,false,false,false,,,,,middle,,false,false,false,false,false,false,false,,false,false,,,false,0.0,0.0,0.0,1.2709733713418245,-0.9561956049874425,0.5421303510665894,-0.021252691745758057,false,,,S.McCormick,
2024_14_LV_TB-1495,2024_14_LV_TB,2024-12-08,14,TB,LV,TB,LV,2,2,18,88.0,2319.0,no_play,0.0,true,false,false,false,,,,,,,false,false,false,false,false,false,true,5.0,false,false,,,false,14.0,7.0,7.0,-0.4116586872842163,-0.4428310996154323,0.7040072679519653,-0.015836000442504883,false,,,,
