flight_id,flight_date,quarter,month_number,day_of_week,marketing_carrier_code,operating_carrier_code,origin_airport_code,origin_city_name,origin_state,destination_airport_code,destination_city_name,destination_state,scheduled_departure_hhmm,actual_departure_hhmm,departure_delay_minutes,departure_delayed_15,scheduled_arrival_hhmm,actual_arrival_hhmm,arrival_delay_minutes,arrival_delayed_15,cancelled,cancellation_code,diverted,scheduled_elapsed_minutes,actual_elapsed_minutes,air_time_minutes,distance_miles,carrier_delay_minutes,weather_delay_minutes,national_aviation_system_delay_minutes,security_delay_minutes,late_aircraft_delay_minutes
flt_bf36616a366e2abce70abc449e81,2024-11-14,4,11,4,DL,DL,MSP,"Minneapolis, MN",MN,SAT,"San Antonio, TX",TX,905,904,-1.0,false,1210,1202,-8.0,false,false,,false,185.0,178.0,142.0,1097.0,,,,,
flt_af39f08d625547b387bda63886d0,2024-05-09,2,5,4,DL,9E,MSP,"Minneapolis, MN",MN,ATW,"Appleton, WI",WI,1420,1414,-6.0,false,1531,1525,-6.0,false,false,,false,71.0,71.0,46.0,236.0,,,,,
flt_601df6d05d58cb9b92ade50565e9,2024-03-02,1,3,6,UA,UA,ORD,"Chicago, IL",IL,LAS,"Las Vegas, NV",NV,2014,2036,22.0,true,2228,2241,13.0,false,false,,false,254.0,245.0,220.0,1514.0,,,,,
flt_43ba5d423161348858492dfba502,2024-10-02,4,10,3,DL,DL,MSP,"Minneapolis, MN",MN,MCI,"Kansas City, MO",MO,1655,1645,-10.0,false,1828,1804,-24.0,false,false,,false,93.0,79.0,58.0,393.0,,,,,
flt_be2958071d15e2b5ae0c1269abe9,2024-01-02,1,1,2,DL,DL,ORD,"Chicago, IL",IL,LGA,"New York, NY",NY,1200,1151,-9.0,false,1514,1449,-25.0,false,false,,false,134.0,118.0,96.0,733.0,,,,,
flt_5e66d32e601dcf06edbd876367f1,2024-04-06,2,4,6,UA,YX,ORD,"Chicago, IL",IL,GRR,"Grand Rapids, MI",MI,1945,1936,-9.0,false,2151,2131,-20.0,false,false,,false,66.0,55.0,26.0,137.0,,,,,
flt_d719a1e708759970a827250ce679,2024-07-25,3,7,4,DL,DL,MSP,"Minneapolis, MN",MN,CLE,"Cleveland, OH",OH,1250,1238,-12.0,false,1542,1527,-15.0,false,false,,false,112.0,109.0,84.0,622.0,,,,,
flt_8745573973d7b9cea3c38539ec17,2024-11-26,4,11,2,DL,DL,MSP,"Minneapolis, MN",MN,DCA,"Washington, DC",VA,2015,2002,-13.0,false,2344,2320,-24.0,false,false,,false,149.0,138.0,113.0,931.0,,,,,
flt_4e0a86ce688ca9abba85e11432ef,2024-03-08,1,3,5,UA,UA,ORD,"Chicago, IL",IL,MSP,"Minneapolis, MN",MN,1558,1552,-6.0,false,1731,1712,-19.0,false,false,,false,93.0,80.0,58.0,334.0,,,,,
flt_5b829d051a4a764f84a7985ce9a1,2024-07-22,3,7,1,UA,YX,ORD,"Chicago, IL",IL,SDF,"Louisville, KY",KY,1757,1802,5.0,false,2026,2019,-7.0,false,false,,false,89.0,77.0,52.0,286.0,,,,,
