crash_id,crash_datetime,crash_year,crash_month,crash_month_name,crash_weekday_name,crash_hour,time_period,posted_speed_limit_mph,traffic_control_device,reported_weather_condition,reported_lighting_condition,first_crash_type,trafficway_type,reported_road_surface_condition,crash_type,intersection_related,hit_and_run,estimated_damage,primary_contributory_cause,unit_count,most_severe_injury,injuries_total,injuries_fatal,latitude,longitude,zip5,weather_station_name,temperature_f,dew_point_f,relative_humidity_percent,precipitation_inches,visibility_miles,wind_speed_mph
crash_09756,2019-09-02 10:30:00,2019,9,Sep,Mon,10,Daytime,30,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,ONE-WAY,DRY,NO INJURY / DRIVE AWAY,,true,"$501 - $1,500",FOLLOWING TOO CLOSELY,2,NO INDICATION OF INJURY,0,0,42.0088414204,-87.6861775376,60645,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",75.0,64.0,69.0,0.0,10.0,8.0
crash_09757,2020-11-16 15:30:00,2020,11,Nov,Mon,15,Evening commute,30,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,true,,"OVER $1,500",IMPROPER TURNING/NO SIGNAL,2,NO INDICATION OF INJURY,0,0,41.8233563484,-87.6460685025,60609,"CHICAGO MIDWAY AIRPORT, IL US",47.0,29.0,50.0,0.0,10.0,9.0
crash_09758,2018-03-29 15:30:00,2018,3,Mar,Thu,15,Evening commute,35,TRAFFIC SIGNAL,CLOUDY/OVERCAST,DAYLIGHT,REAR END,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,,,"$501 - $1,500",FOLLOWING TOO CLOSELY,2,NO INDICATION OF INJURY,0,0,41.6997660458,-87.6282330272,60628,"CHICAGO MIDWAY AIRPORT, IL US",42.0,36.0,79.0,,9.0,16.0
crash_09759,2020-07-15 16:22:00,2020,7,Jul,Wed,16,Evening commute,30,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,,,"$501 - $1,500",FOLLOWING TOO CLOSELY,2,NO INDICATION OF INJURY,0,0,41.6889070792,-87.6231416068,60628,"CHICAGO MIDWAY AIRPORT, IL US",83.0,68.0,61.0,0.0,10.0,11.0
crash_09760,2018-11-25 18:15:00,2018,11,Nov,Sun,18,Evening commute,30,NO CONTROLS,RAIN,DAWN,REAR END,NOT DIVIDED,WET,NO INJURY / DRIVE AWAY,,,"$501 - $1,500",NOT APPLICABLE,2,NO INDICATION OF INJURY,0,0,41.8084167447,-87.6748310718,60609,"CHICAGO MIDWAY AIRPORT, IL US",39.0,34.0,82.0,0.03,5.0,23.0
crash_09761,2020-10-07 00:07:00,2020,10,Oct,Wed,0,Night or early morning,30,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,,true,"OVER $1,500",UNABLE TO DETERMINE,2,NO INDICATION OF INJURY,0,0,41.7349630503,-87.6329768311,60620,"CHICAGO MIDWAY AIRPORT, IL US",63.0,44.0,50.0,0.0,10.0,11.0
crash_09762,2018-06-02 18:35:00,2018,6,Jun,Sat,18,Evening commute,35,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,ONE-WAY,DRY,NO INJURY / DRIVE AWAY,,,$500 OR LESS,FOLLOWING TOO CLOSELY,2,NO INDICATION OF INJURY,0,0,41.8579513338,-87.6449390306,60616,"CHICAGO MIDWAY AIRPORT, IL US",69.0,60.0,73.0,0.0,10.0,9.0
crash_09763,2019-11-30 13:00:00,2019,11,Nov,Sat,13,Daytime,30,NO CONTROLS,RAIN,DAYLIGHT,PARKED MOTOR VEHICLE,ONE-WAY,WET,NO INJURY / DRIVE AWAY,,true,"OVER $1,500",UNABLE TO DETERMINE,4,NO INDICATION OF INJURY,0,0,41.8049061469,-87.7392663837,60632,"CHICAGO MIDWAY AIRPORT, IL US",38.0,35.0,89.0,0.0,6.0,18.0
crash_09764,2025-11-10 11:00:00,2025,11,Nov,Mon,11,Daytime,30,UNKNOWN,UNKNOWN,UNKNOWN,PARKED MOTOR VEHICLE,UNKNOWN,UNKNOWN,NO INJURY / DRIVE AWAY,,true,"OVER $1,500",UNABLE TO DETERMINE,2,NO INDICATION OF INJURY,0,0,41.9703491878,-87.7115415858,60625,,,,,,,
crash_09765,2022-03-12 21:15:00,2022,3,Mar,Sat,21,Night or early morning,30,TRAFFIC SIGNAL,UNKNOWN,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,UNKNOWN,NO INJURY / DRIVE AWAY,true,true,"$501 - $1,500",FOLLOWING TOO CLOSELY,2,NO INDICATION OF INJURY,0,0,41.884588372,-87.6232725611,60601,"CHICAGO MIDWAY AIRPORT, IL US",21.0,7.0,54.0,0.0,10.0,10.0
