"section","semester_name","full_year","class_section","classroom","class_dow","class_start","class_end","final_dow","final_date","final_start","final_end","office_location","office_hours"
"4","Fall","2026","4","Wittich 112","MWF","1:10 pm","2:05 pm","Tuesday","December 22nd","2:30 pm","4:30 pm","Non Extant","Tues./Thurs. noon-1:00 pm and Mon./Wed. 4:00-5:00 pm in Zoom or by appointment"
"11","Fall","2026","11","Wittich 112","Tuesday","5:30 pm","8:15 pm","Friday","December 18th","7:00 pm","9:00 pm","Non Extant","Tues./Thurs. noon-1:00 pm and Mon./Wed. 4:00-5:00 pm in Zoom or by appointment"
"12","Fall","2026","12","Wittich 112","Thursday","5:30 pm","8:15 pm","Thursday","December 17th","7:00 pm","9:00 pm","Non Extant","Tues./Thurs. noon-1:00 pm and Mon./Wed. 4:00-5:00 pm in Zoom or by appointment"
